# xct_end restore_begin restore_segment restore_end page_write page_read
0	0	0	0	0	1331	
0	0	0	0	0	3523	
0	0	0	0	0	3495	
0	0	0	0	0	3555	
0	0	0	0	0	3550	
0	0	0	0	0	3567	
0	0	0	0	0	3510	
0	0	0	0	0	3491	
0	0	0	0	0	2476	
0	0	0	0	0	3543	
0	0	0	0	0	3565	
0	0	0	0	0	3499	
0	0	0	0	0	3505	
0	0	0	0	0	3494	
0	0	0	0	0	3525	
0	0	0	0	0	3517	
0	0	0	0	0	3489	
0	0	0	0	0	3525	
0	0	0	0	0	3624	
0	0	0	0	0	3616	
0	0	0	0	0	3551	
0	0	0	0	0	3534	
0	0	0	0	0	3517	
0	0	0	0	0	3599	
0	0	0	0	0	3567	
0	0	0	0	0	3549	
0	0	0	0	0	3542	
0	0	0	0	0	3474	
0	0	0	0	0	3407	
0	0	0	0	0	3553	
0	0	0	0	0	3574	
0	0	0	0	0	3532	
0	0	0	0	0	3583	
0	0	0	0	0	3709	
0	0	0	0	0	3886	
0	0	0	0	0	3785	
0	0	0	0	0	3748	
0	0	0	0	0	3705	
0	0	0	0	0	3816	
0	0	0	0	0	3807	
0	0	0	0	0	3784	
0	0	0	0	0	3716	
0	0	0	0	0	3702	
0	0	0	0	0	3791	
0	0	0	0	0	3760	
0	0	0	0	0	3737	
0	0	0	0	0	3729	
0	0	0	0	0	3723	
0	0	0	0	0	3775	
0	0	0	0	0	3786	
0	0	0	0	0	3946	
0	0	0	0	0	3800	
0	0	0	0	0	3718	
0	0	0	0	0	3820	
0	0	0	0	0	3717	
0	0	0	0	0	3726	
0	0	0	0	0	3742	
0	0	0	0	0	3763	
0	0	0	0	0	3966	
0	0	0	0	0	3805	
0	0	0	0	0	3904	
0	0	0	0	0	3599	
0	0	0	0	0	3689	
0	0	0	0	0	3776	
0	0	0	0	0	3962	
0	0	0	0	0	3762	
0	0	0	0	0	3660	
0	0	0	0	0	3705	
0	0	0	0	0	3781	
0	0	0	0	0	3743	
0	0	0	0	0	4555	
0	0	0	0	0	3878	
0	0	0	0	0	3732	
0	0	0	0	0	3907	
0	0	0	0	0	3701	
0	0	0	0	0	4788	
0	0	0	0	0	4975	
0	0	0	0	0	4890	
0	0	0	0	0	4938	
0	0	0	0	0	4949	
0	0	0	0	0	4940	
0	0	0	0	0	4859	
0	0	0	0	0	4856	
0	0	0	0	0	4877	
0	0	0	0	0	4886	
0	0	0	0	0	4873	
0	0	0	0	0	4867	
0	0	0	0	0	4923	
0	0	0	0	0	4928	
0	0	0	0	0	4951	
0	0	0	0	0	4936	
0	0	0	0	0	4951	
0	0	0	0	0	4984	
0	0	0	0	0	4948	
0	0	0	0	0	4909	
0	0	0	0	0	4998	
0	0	0	0	0	5009	
0	0	0	0	0	4981	
0	0	0	0	0	4915	
0	0	0	0	0	4981	
0	0	0	0	0	5039	
0	0	0	0	0	4942	
0	0	0	0	0	4961	
0	0	0	0	0	4927	
0	0	0	0	0	4994	
0	0	0	0	0	4969	
0	0	0	0	0	4981	
0	0	0	0	0	4966	
0	0	0	0	0	4991	
0	0	0	0	0	4952	
0	0	0	0	0	4991	
0	0	0	0	0	5039	
0	0	0	0	0	5005	
0	0	0	0	0	4600	
0	0	0	0	0	3577	
0	0	0	0	0	3595	
0	0	0	0	0	3586	
0	0	0	0	0	3555	
0	0	0	0	0	3602	
0	0	0	0	0	3602	
0	0	0	0	0	3601	
0	0	0	0	0	3587	
0	0	0	0	0	3598	
0	0	0	0	0	3558	
0	0	0	0	0	3593	
0	0	0	0	0	3581	
0	0	0	0	0	3590	
0	0	0	0	0	3584	
0	0	0	0	0	3571	
0	0	0	0	0	3599	
0	0	0	0	0	3598	
0	0	0	0	0	3599	
0	0	0	0	0	3607	
0	0	0	0	0	3580	
0	0	0	0	0	3602	
0	0	0	0	0	3595	
0	0	0	0	0	3595	
0	0	0	0	0	3591	
0	0	0	0	0	3569	
0	0	0	0	0	3592	
0	0	0	0	0	3602	
0	0	0	0	0	3593	
0	0	0	0	0	3595	
0	0	0	0	0	3592	
0	0	0	0	0	3610	
0	0	0	0	0	3600	
0	0	0	0	0	3594	
0	0	0	0	0	3599	
0	0	0	0	0	3567	
0	0	0	0	0	3603	
0	0	0	0	0	3596	
0	0	0	0	0	3600	
0	0	0	0	0	3606	
0	0	0	0	0	3559	
0	0	0	0	0	3609	
0	0	0	0	0	3610	
0	0	0	0	0	3611	
0	0	0	0	0	3603	
0	0	0	0	0	3568	
0	0	0	0	0	3597	
0	0	0	0	0	3602	
0	0	0	0	0	3594	
0	0	0	0	0	3597	
0	0	0	0	0	3615	
0	0	0	0	0	3618	
0	0	0	0	0	3633	
0	0	0	0	0	3611	
0	0	0	0	0	3587	
0	0	0	0	0	3614	
0	0	0	0	0	3572	
0	0	0	0	0	3598	
0	0	0	0	0	3592	
0	0	0	0	0	3823	
0	0	0	0	0	3581	
0	0	0	0	0	3576	
0	0	0	0	0	3594	
0	0	0	0	0	3599	
0	0	0	0	0	3625	
0	0	0	0	0	3592	
0	0	0	0	0	3575	
0	0	0	0	0	3617	
0	0	0	0	0	3614	
0	0	0	0	0	3732	
0	0	0	0	0	3711	
0	0	0	0	0	3663	
0	0	0	0	0	3713	
0	0	0	0	0	3761	
0	0	0	0	0	3597	
0	0	0	0	0	3594	
0	0	0	0	0	3615	
0	0	0	0	0	3630	
0	0	0	0	0	3593	
0	0	0	0	0	3665	
0	0	0	0	0	3605	
0	0	0	0	0	3742	
0	0	0	0	0	5111	
0	0	0	0	0	5089	
0	0	0	0	0	5013	
0	0	0	0	0	5007	
0	0	0	0	0	5160	
0	0	0	0	0	4977	
0	0	0	0	0	4879	
0	0	0	0	0	4990	
0	0	0	0	0	4748	
0	0	0	0	0	3769	
0	0	0	0	0	4910	
0	0	0	0	0	5004	
0	0	0	0	0	4987	
0	0	0	0	0	4973	
0	0	0	0	0	4975	
0	0	0	0	0	5018	
0	0	0	0	0	5046	
0	0	0	0	0	5003	
0	0	0	0	0	4974	
0	0	0	0	0	4984	
0	0	0	0	0	5016	
0	0	0	0	0	4983	
0	0	0	0	0	5010	
0	0	0	0	0	4991	
0	0	0	0	0	5118	
0	0	0	0	0	4940	
0	0	0	0	0	5021	
0	0	0	0	0	4993	
0	0	0	0	0	4591	
0	0	0	0	0	3567	
0	0	0	0	0	3606	
0	0	0	0	0	3575	
0	0	0	0	0	3567	
0	0	0	0	0	3597	
0	0	0	0	0	3576	
0	0	0	0	0	3587	
0	0	0	0	0	3549	
0	0	0	0	0	3596	
0	0	0	0	0	3631	
0	0	0	0	0	3576	
0	0	0	0	0	3604	
0	0	0	0	0	3591	
0	0	0	0	0	3594	
0	0	0	0	0	3593	
0	0	0	0	0	3551	
0	0	0	0	0	3572	
0	0	0	0	0	3604	
0	0	0	0	0	3604	
0	0	0	0	0	3666	
0	0	0	0	0	3615	
0	0	0	0	0	3570	
0	0	0	0	0	3596	
0	0	0	0	0	3593	
0	0	0	0	0	3609	
0	0	0	0	0	3613	
0	0	0	0	0	3578	
0	0	0	0	0	3628	
0	0	0	0	0	3615	
0	0	0	0	0	3736	
0	0	0	0	0	3721	
0	0	0	0	0	3574	
0	0	0	0	0	3603	
0	0	0	0	0	3584	
0	0	0	0	0	3673	
0	0	0	0	0	3608	
0	0	0	0	0	3584	
0	0	0	0	0	3600	
0	0	0	0	0	3596	
0	0	0	0	0	3979	
0	0	0	0	0	3618	
0	0	0	0	0	3585	
0	0	0	0	0	3600	
0	0	0	0	0	3601	
0	0	0	0	0	3604	
0	0	0	0	0	3661	
0	0	0	0	0	3630	
0	0	0	0	0	3743	
0	0	0	0	0	3709	
0	0	0	0	0	3592	
0	0	0	0	0	3655	
0	0	0	0	0	3568	
0	0	0	0	0	3604	
0	0	0	0	0	3596	
0	0	0	0	0	3608	
0	0	0	0	0	3603	
0	0	0	0	0	3574	
0	0	0	0	0	3616	
0	0	0	0	0	3646	
0	0	0	0	0	3868	
0	0	0	0	0	3567	
0	0	0	0	0	3542	
0	0	0	0	0	3596	
0	0	0	0	0	3622	
0	0	0	0	0	3625	
0	0	0	0	0	3733	
0	0	0	0	0	3631	
0	0	0	0	0	3594	
0	0	0	0	0	3925	
0	0	0	0	0	3896	
0	0	0	0	0	3760	
0	0	0	0	0	3869	
0	0	0	0	0	3616	
0	0	0	0	0	3897	
0	0	0	0	0	4094	
0	0	0	0	0	3939	
0	0	0	0	0	3580	
0	0	0	0	0	3744	
0	0	0	0	0	3639	
0	0	0	0	0	3954	
0	0	0	0	0	4000	
0	0	0	0	0	4060	
0	0	0	0	0	3604	
0	0	0	0	0	3763	
0	0	0	0	0	3787	
0	0	0	0	0	3701	
0	0	0	0	0	3566	
0	0	0	0	0	3607	
0	0	0	0	0	3646	
0	0	0	0	0	4014	
0	0	0	0	0	4938	
0	0	0	0	0	4997	
0	0	0	0	0	5041	
0	0	0	0	0	5003	
0	0	0	0	0	4958	
0	0	0	0	0	5008	
0	0	0	0	0	5039	
0	0	0	0	0	5008	
0	0	0	0	0	5027	
0	0	0	0	0	4566	
0	0	0	0	0	3606	
0	0	0	0	0	3604	
0	0	0	0	0	3571	
0	0	0	0	0	3609	
0	0	0	0	0	3604	
0	0	0	0	0	3653	
0	0	0	0	0	3585	
0	0	0	0	0	3736	
0	0	0	0	0	3651	
0	0	0	0	0	3588	
0	0	0	0	0	3579	
0	0	0	0	0	3597	
0	0	0	0	0	3616	
0	0	0	0	0	3716	
0	0	0	0	0	3581	
0	0	0	0	0	3653	
0	0	0	0	0	3596	
0	0	0	0	0	3675	
0	0	0	0	0	3585	
0	0	0	0	0	3911	
0	0	0	0	0	3699	
0	0	0	0	0	3622	
0	0	0	0	0	3573	
0	0	0	0	0	3658	
0	0	0	0	0	3598	
0	0	0	0	0	3646	
0	0	0	0	0	3590	
0	0	0	0	0	3568	
0	0	0	0	0	3563	
0	0	0	0	0	3603	
0	0	0	0	0	3618	
0	0	0	0	0	3662	
0	0	0	0	0	3748	
0	0	0	0	0	3894	
0	0	0	0	0	3608	
0	0	0	0	0	3818	
0	0	0	0	0	4151	
0	0	0	0	0	3834	
